name,location,price,taxes,stars,ratings,condition,feature1,feature2,feature3
OYO Flagship Hotel Sunil Residency,"West Of Chord Road, Shivanagar, Bangalore",₹627,+ ₹115 taxes & fees,3.6,(61 Ratings),Good,Elevator,Free Wifi,Geyser
Townhouse Boutique Design 363 Sarjapur Near 7D Voyage,"Near Aet College Junction, Gear Road, Bangalore",₹1239,+ ₹189 taxes & fees,4.0,(1475 Ratings),Very Good,Free Wifi,CCTV cameras,Daily housekeeping
Flagship Hotel Paradise Inn,"Marathahalli, Bangalore",₹832,+ ₹140 taxes & fees,3.7,(638 Ratings),Good,Reception,Free Wifi,Power backup
OYO Varcity Emerald Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Near KEB Colony, BTM Layout 1, Bangalore",₹701,+ ₹124 taxes & fees,3.8,(371 Ratings),Good,Reception,Free Wifi,Power backup
OYO Flagship 23427 Ashrey Stays,"Singasandra, Bangalore",₹625,+ ₹115 taxes & fees,4.0,(149 Ratings),Very Good,Parking facility,Reception,Free Wifi
Super OYO Capital O Choice Regal Suites Near Ragigudda Sri Prasanna Anjanayeswamy Temple,"Centrally Located, Near Sagar Hospital, Hombegowda Nagar, Bangalore",₹932,+ ₹162 taxes & fees,4.2,(272 Ratings),Very Good,Hair Dryer,Parking facility,Reception
Atithi Residency,"Near Udupi bhavan, Attibele, Bangalore",₹727,+ ₹157 taxes & fees,3.4,(46 Ratings),Fair,Parking facility,Free Wifi,Power backup
SPOT ON A Class Suites Near Hare Krishna Hill,"Bangalore Urban, Bangalore",₹669,+ ₹110 taxes & fees,5.0,(763 Ratings),Fabulous,TV,Reception,Wakeup service
OYO Flagship Pns Royals,"Bidadi, Bangalore",₹678,+ ₹121 taxes & fees,5.0,(5 Ratings),Fabulous,Elevator,Free Wifi,Geyser
OYO Flagship 77067 P N K Suites,"Bangalore Urban, Bangalore",₹508,+ ₹91 taxes & fees,3.5,(56 Ratings),Good,AC,TV,
Townhouse OAK Passport Inn,"Hunasamaranahalli, Bangalore",₹789,+ ₹135 taxes & fees,3.6,(6 Ratings),Good,Reception,Free Wifi,Power backup
OYO PALMS INN ROOMS,"Near Nagawara Manyata Tech Park, Bangalore",₹616,+ ₹114 taxes & fees,3.9,(36 Ratings),Good,Free Wifi,Geyser,Power backup
OYO Flagship SGR Residency,"null, Bangalore",₹717,+ ₹126 taxes & fees,4.3,(97 Ratings),Very Good,Free Wifi,Geyser,Power backup
OYO Varcity Comforts Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"B T M Layout, Bangalore",₹771,+ ₹132 taxes & fees,4.0,(1196 Ratings),Very Good,Elevator,Free Wifi,Geyser
SPOT ON Sri Nataraja Lodge,"Ramachandrapuram Main road near Sujata theatre opp lulu mall, Bangalore",₹499,+ ₹100 taxes & fees,4.1,(64 Ratings),Very Good,Free Wifi,Geyser,Power backup
OYO Flagship Olivia Comforts Near Nexus Mall Koramangala,"Near Eat Street, Kormangala, Bangalore",₹819,+ ₹128 taxes & fees,4.1,(986 Ratings),Very Good,Reception,Free Wifi,Power backup
Collection O Canton Hotel Near Vajarahalli Metro Station,"Banashankari 5th Stage, Bangalore",₹848,+ ₹142 taxes & fees,4.4,(141 Ratings),Very Good,Elevator,Free Wifi,Geyser
Flagship New Town House,"Nagarbhavi, Bangalore",₹780,+ ₹134 taxes & fees,4.3,(380 Ratings),Very Good,Elevator,Free Wifi,Geyser
OYO Hotel Blue Inn,"Near Bilal masjid, Gurappanapalya, Bangalore",₹663,+ ₹120 taxes & fees,3.5,(1010 Ratings),Good,Reception,Free Wifi,Power backup
Collection O 85404 Valleyton Park,"Near Manyata Tech Park,HBR Layout,Outer Ring Road,Bangalore",₹1239,+ ₹189 taxes & fees,4.2,(374 Ratings),Very Good,Parking facility,Ticket tour assistance,Reception
Super OYO GN Collection O Near Rajajinagar Industrial Estate,"Centrally Located, Near A D Halli Park, Housing Board, Bangalore",₹762,+ ₹141 taxes & fees,4.1,(637 Ratings),Very Good,Reception,Free Wifi,Power backup
Collection O Hotel Royalax,"Karnataka , Bangalore",₹767,+ ₹132 taxes & fees,3.9,(125 Ratings),Good,Elevator,Free Wifi,Geyser
Super OYO Capital O Prince Venue,"Thanisandra Main Road Rachenahalli Manyatha Back Gate No 5 Opposite Road Pnt Layout 4cross, Bangalore",₹929,+ ₹151 taxes & fees,4.3,(849 Ratings),Very Good,Reception,Free Wifi,Geyser
OYO Flagship Kolar Park,"Near Antharagange Caves , Bangalore",₹822,+ ₹139 taxes & fees,4.5,(27 Ratings),Excellent,Free Wifi,Geyser,Power backup
Capital O Atithi Residency Near 7D Voyage,"Sarjapur Road, Bangalore",₹1216,+ ₹176 taxes & fees,4.4,(561 Ratings),Very Good,Living Room,Reception,Washing Machine
SPOT ON S3 Comforts Near Sri Amruth Chithra Mandira,"Diagonally Opp Sri Krishna Nandagokula Hotel, Bangalore",₹617,+ ₹124 taxes & fees,3.7,(87 Ratings),Good,TV,,
Super OYO Townhouse 273 Hosur Main Road Bommanahalli Near Gopalan Innovation Mall,"Near krishna Theature Bommanahalli, Hosur main road, Bangalore",₹1711,+ ₹255 taxes & fees,4.8,(1775 Ratings),Excellent,Parking facility,Reception,Free Wifi
Oyo Flagship Sri Chowdeshwari Boarding And Lodging,"Kadabagere Cross, Bangalore",₹499,+ ₹100 taxes & fees,5.0,(1 Ratings),Fabulous,Free Wifi,Geyser,Power backup
Capital O Blooms Stay Inn Near Snow City,"Bangalore Urban, Bangalore",₹1040,+ ₹175 taxes & fees,4.5,(409 Ratings),Excellent,Doctor on call,Private entrance,Parking facility
OYO Flagship 13121 Sai Kuteer Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Near MG school, Bilekahalli , Bangalore",₹743,+ ₹159 taxes & fees,4.0,(98 Ratings),Very Good,Parking facility,Reception,Free Wifi
Collection O The Grand Budget Hotel,"Karnataka , Bangalore",₹812,+ ₹137 taxes & fees,3.8,(130 Ratings),Good,Free Wifi,AC,TV
